#timestamp(s) cam0 cam1 cam2 mono stereo observe
1694074169.30385 134 28 106 212 28 240
1694074169.33787 133 25 105 213 25 238
1694074169.43787 135 28 105 212 28 240
1694074169.53786 132 26 104 210 26 236
1694074169.70452 129 24 102 207 24 231
1694074169.73787 132 28 102 206 28 234
1694074169.80374 132 27 102 207 27 234
1694074169.83788 130 25 102 207 25 232
1694074169.90306 130 24 102 208 24 232
1694074169.93580 132 26 102 208 26 234
1694074170.00246 129 25 102 206 25 231
1694074170.03579 129 25 102 206 25 231
1694074170.13578 127 25 101 203 25 228
1694074170.20306 127 25 101 203 25 228
1694074170.23642 128 23 101 206 23 229
1694074170.33579 127 24 101 204 24 228
1694074170.40246 129 27 102 204 27 231
1694074170.43579 130 29 102 203 29 232
1694074170.50375 128 25 102 205 25 230
1694074170.53642 128 27 102 203 27 230
1694074170.60247 127 24 103 206 24 230
1694074170.63580 129 24 102 207 24 231
1694074170.80377 129 27 100 202 27 229
1694074170.83643 131 26 101 206 26 232
1694074170.90247 130 25 102 207 25 232
1694074171.03580 130 25 103 208 25 233
1694074171.10378 133 29 103 207 29 236
1694074171.13712 130 26 103 207 26 233
1694074171.20308 130 25 103 208 25 233
1694074171.23581 135 25 102 212 25 237
1694074171.33580 137 30 105 212 30 242
1694074171.40377 139 31 105 213 31 244
1694074171.43712 138 30 105 213 30 243
1694074171.50312 136 29 106 213 29 242
1694074171.53644 136 30 106 212 30 242
1694074171.60248 132 27 106 211 27 238
1694074171.70380 137 33 107 211 33 244
1694074171.73714 139 33 107 213 33 246
1694074171.80310 136 32 107 211 32 243
1694074171.83714 138 31 108 215 31 246
1694074171.90248 137 30 107 214 30 244
1694074171.93581 140 34 107 213 34 247
1694074172.00337 135 33 107 209 33 242
1694074172.10379 136 32 107 211 32 243
1694074172.23582 133 31 105 207 31 238
1694074172.33716 137 34 105 208 34 242
1694074172.43583 135 28 104 211 28 239
1694074172.50249 139 31 104 212 31 243
1694074172.53582 142 32 105 215 32 247
1694074172.60338 137 30 104 211 30 241
1694074172.70338 142 33 103 212 33 245
1694074172.73584 136 31 104 209 31 240
1694074172.80250 137 32 102 207 32 239
1694074172.90341 142 35 99 206 35 241
1694074172.93676 140 33 105 212 33 245
1694074173.00338 141 35 105 211 35 246
1694074173.03784 139 32 105 212 32 244
1694074173.10250 138 32 105 211 32 243
1694074173.13584 137 31 106 212 31 243
1694074173.20341 136 30 107 213 30 243
1694074173.23676 137 33 107 211 33 244
1694074173.30410 137 31 106 212 31 243
1694074173.33743 136 33 106 209 33 242
1694074173.40251 134 31 106 209 31 240
1694074173.43584 138 36 106 208 36 244
1694074173.50315 137 35 106 208 35 243
1694074173.53788 136 33 107 210 33 243
1694074173.60342 134 32 108 210 32 242
1694074173.70230 137 35 108 210 35 245
1694074173.73563 139 34 108 213 34 247
1694074173.80291 140 36 108 212 36 248
1694074173.90320 136 31 110 215 31 246
1694074173.93723 134 30 111 215 30 245
1694074174.00318 130 26 111 215 26 241
1694074174.03628 133 29 110 214 29 243
1694074174.10293 130 28 109 211 28 239
1694074174.13627 129 27 109 211 27 238
1694074174.20320 126 25 106 207 25 232
1694074174.23724 126 26 106 206 26 232
1694074174.33628 128 27 104 205 27 232
1694074174.40293 133 34 105 204 34 238
1694074174.43628 130 30 104 204 30 234
1694074174.50292 135 35 103 203 35 238
1694074174.53565 134 34 103 203 34 237
1694074174.63656 135 35 101 201 35 236
1694074174.70294 134 38 101 197 38 235
1694074174.73629 135 38 101 198 38 236
1694074174.80364 133 37 101 197 37 234
1694074174.83566 132 34 101 199 34 233
1694074174.93656 131 33 100 198 33 231
1694074175.00294 133 37 101 197 37 234
1694074175.03699 129 29 101 201 29 230
1694074175.10364 127 28 101 200 28 228
1694074175.13566 135 34 101 202 34 236
1694074175.20232 134 32 101 203 32 235
1694074175.23657 136 34 102 204 34 238
1694074175.30365 134 33 102 203 33 236
1694074175.33567 137 33 102 206 33 239
1694074175.40363 135 35 100 200 35 235
1694074175.50233 137 38 100 199 38 237
1694074175.53657 136 37 100 199 37 236
1694074175.60235 138 38 101 201 38 239
1694074175.70234 133 33 101 201 33 234
1694074175.73567 130 29 101 202 29 231
1694074175.80233 132 26 101 207 26 233
1694074175.83660 132 25 104 211 25 236
1694074175.93568 134 26 102 210 26 236
1694074176.00234 134 26 102 210 26 236
1694074176.03568 133 25 103 211 25 236
1694074176.10234 134 24 103 213 24 237
1694074176.13699 134 23 103 214 23 237
1694074176.20322 132 24 103 211 24 235
1694074176.23569 133 26 103 210 26 236
1694074176.30235 133 27 103 209 27 236
1694074176.33568 133 29 103 207 29 236
1694074176.40234 133 29 103 207 29 236
1694074176.43700 131 28 103 206 28 234
1694074176.50323 128 25 103 206 25 231
1694074176.60236 128 24 102 206 24 230
1694074176.63569 131 28 102 205 28 233
1694074176.70235 131 27 101 205 27 232
1694074176.73701 128 22 103 209 22 231
1694074176.83660 129 29 102 202 29 231
1694074176.90236 131 30 103 204 30 234
1694074176.93569 130 28 104 206 28 234
1694074177.00365 131 28 104 207 28 235
1694074177.03711 133 30 105 208 30 238
1694074177.10376 128 26 105 207 26 233
1694074177.13661 129 28 107 208 28 236
1694074177.20237 129 30 107 206 30 236
1694074177.30378 129 30 109 208 30 238
1694074177.33712 131 30 109 210 30 240
1694074177.40375 130 27 109 212 27 239
1694074177.50237 129 30 109 208 30 238
1694074177.53570 129 26 109 212 26 238
1694074177.60377 128 26 109 211 26 237
1694074177.70377 125 25 109 209 25 234
1694074177.73712 125 25 109 209 25 234
1694074177.80325 125 25 109 209 25 234
1694074177.83571 128 26 109 211 26 237
1694074177.90368 126 26 109 209 26 235
1694074178.00376 125 23 107 209 23 232
1694074178.03713 127 26 107 208 26 234
1694074178.10375 126 26 107 207 26 233
1694074178.13571 127 25 107 209 25 234
1694074178.23782 124 23 106 207 23 230
1694074178.30376 123 23 106 206 23 229
1694074178.33782 127 28 105 204 28 232
1694074178.40375 126 26 105 205 26 231
1694074178.50378 127 27 105 205 27 232
1694074178.53715 125 25 106 206 25 231
1694074178.63782 129 28 105 206 28 234
1694074178.73781 129 29 104 204 29 233
1694074178.83784 128 28 105 205 28 233
1694074178.90380 128 30 106 204 30 234
1694074178.93783 129 32 106 203 32 235
1694074179.00377 127 31 106 202 31 233
1694074179.03573 126 33 106 199 33 232
1694074179.13575 125 31 105 199 31 230
1694074179.20241 127 30 103 200 30 230
1694074179.23574 133 33 103 203 33 236
1694074179.30240 129 28 103 204 28 232
1694074179.33573 129 31 103 201 31 232
1694074179.40300 125 28 103 200 28 228
1694074179.43576 128 31 103 200 31 231
1694074179.50242 126 27 102 201 27 228
1694074179.53575 125 26 102 201 26 227
1694074179.60241 125 27 102 200 27 227
1694074179.63574 125 25 102 202 25 227
1694074179.70380 125 24 102 203 24 227
1694074179.73637 125 26 102 201 26 227
1694074179.80242 124 25 102 201 25 226
1694074179.83575 124 25 102 201 25 226
1694074179.90241 123 24 102 201 24 225
1694074179.93574 128 26 103 205 26 231
1694074180.00372 124 25 102 201 25 226
1694074180.03639 123 24 102 201 24 225
1694074180.10242 127 26 102 203 26 229
1694074180.13576 129 28 102 203 28 231
1694074180.20242 124 27 102 199 27 226
1694074180.30372 123 26 101 198 26 224
1694074180.33707 128 29 101 200 29 229
1694074180.40302 124 28 100 196 28 224
1694074180.50242 128 27 99 200 27 227
1694074180.53575 126 29 97 194 29 223
1694074180.60372 124 28 97 193 28 221
1694074180.73641 121 26 96 191 26 217
1694074180.80243 125 29 96 192 29 221
1694074180.83576 129 33 97 193 33 226
1694074180.90374 129 33 97 193 33 226
1694074180.93709 129 32 97 194 32 226
1694074181.00305 121 23 97 195 23 218
1694074181.03710 122 24 97 195 24 219
1694074181.10244 122 25 98 195 25 220
1694074181.13577 120 23 98 195 23 218
1694074181.20374 120 25 97 192 25 217
1694074181.30375 120 28 97 189 28 217
1694074181.33710 121 27 100 194 27 221
1694074181.40244 122 27 98 193 27 220
1694074181.43577 123 28 98 193 28 221
1694074181.53710 122 29 97 190 29 219
1694074181.60376 124 30 98 192 30 222
